Week_Ending,Ending_Mileage
10/2/2021,
10/9/2021,218940
10/16/2021,219868
10/23/2021,219962
10/30/2021,220940
11/6/2021,221720
11/13/2021,222380
11/20/2021,223310
11/27/2021,223720
12/4/2021,224220
12/11/2021,224940
12/18/2021,225600
12/25/2021,226050
1/1/2022,226450
1/8/2022,227050
1/15/2022,227790
1/22/2022,228150
1/29/2022,228450
2/5/2022,228840
2/12/2022,230040
2/19/2022,
2/26/2022,
3/5/2022,230920
3/12/2022,231260
3/19/2022,231850
3/26/2022,232330
4/2/2022,
4/9/2022,
4/16/2022,
