Week_Ending,Pred_Ending_Mileage
2021-10-02,35741.0
2021-10-09,36163.0
2021-10-16,36490.0
2021-10-23,36982.0
2021-10-30,37688.0
2021-11-06,37949.666666666664
2021-11-13,38211.333333333336
2021-11-20,38473.0
2021-11-27,38734.666666666664
2021-12-04,38996.333333333336
2021-12-11,39258.0
2021-12-18,39818.5
2021-12-25,40379.0
2022-01-01,40684.0
2022-01-08,41188.0
2022-01-15,41725.5
2022-01-22,42263.0
2022-01-29,42792.0
2022-02-05,43124.0
2022-02-12,43646.0
2022-02-19,44168.0
2022-02-26,44299.0
2022-03-05,44841.0
2022-03-12,45433.0
2022-03-19,46078.0
2022-03-26,46839.0
2022-04-02,47638.0
2022-04-09,47638.0
2022-04-16,47638.0
