Week_Ending,Pred_Ending_Mileage
2021-10-02,26484.0
2021-10-09,26768.0
2021-10-16,27085.0
2021-10-23,27276.0
2021-10-30,27611.0
2021-11-06,28008.0
2021-11-13,28262.0
2021-11-20,28541.0
2021-11-27,28858.0
2021-12-04,29307.0
2021-12-11,29615.0
2021-12-18,30026.0
2021-12-25,30400.0
2022-01-01,30646.0
2022-01-08,30797.0
2022-01-15,30979.0
2022-01-22,31178.0
2022-01-29,31611.0
2022-02-05,31961.0
2022-02-12,32425.0
2022-02-19,32809.0
2022-02-26,32919.0
2022-03-05,33323.0
2022-03-12,33637.0
2022-03-19,33736.0
2022-03-26,34047.0
2022-04-02,34047.0
2022-04-09,34047.0
2022-04-16,34047.0
