Week_Ending,Ending_Mileage
10/2/2021,35741
10/9/2021,36163
10/16/2021,36490
10/23/2021,36982
10/30/2021,37688
11/6/2021,
11/13/2021,
11/20/2021,
11/27/2021,
12/4/2021,
12/11/2021,39258
12/18/2021,
12/25/2021,40379
1/1/2022,40684
1/8/2022,41188
1/15/2022,
1/22/2022,42263
1/29/2022,42792
2/5/2022,43124
2/12/2022,43646
2/19/2022,44168
2/26/2022,44299
3/5/2022,44841
3/12/2022,45433
3/19/2022,46078
3/26/2022,46839
4/2/2022,47638
4/9/2022,
4/16/2022,
