Week_Ending,Pred_Ending_Mileage
2021-10-02,
2021-10-09,134125.0
2021-10-16,134770.0
2021-10-23,135171.0
2021-10-30,135687.0
2021-11-06,136120.0
2021-11-13,136515.0
2021-11-20,136882.0
2021-11-27,137022.0
2021-12-04,137351.0
2021-12-11,137477.0
2021-12-18,137557.0
2021-12-25,137733.5
2022-01-01,137910.0
2022-01-08,138086.5
2022-01-15,138263.0
2022-01-22,138483.0
2022-01-29,138760.0
2022-02-05,138885.66666666666
2022-02-12,139011.33333333334
2022-02-19,139137.0
2022-02-26,139266.0
2022-03-05,139641.0
2022-03-12,139965.0
2022-03-19,140078.0
2022-03-26,140680.0
2022-04-02,141298.0
2022-04-09,141678.0
2022-04-16,142074.0
