Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,730,177155,177623,468,SC,2007,Toyota,Tacoma
10/9/2021,730,177623,178648,1025,SC,2007,Toyota,Tacoma
10/16/2021,730,178648,179413,765,SC,2007,Toyota,Tacoma
10/23/2021,730,179413,180466,1053,SC,2007,Toyota,Tacoma
10/30/2021,730,180466,181214,748,SC,2007,Toyota,Tacoma
11/6/2021,730,181214,181936,722,SC,2007,Toyota,Tacoma
11/13/2021,730,181936,182780,844,SC,2007,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
