Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,231,47332,47589,257,DN,2018,Ford,F-150
10/9/2021,231,47589,47804,215,DN,2018,Ford,F-150
10/16/2021,231,47804,48047,243,DN,2018,Ford,F-150
10/23/2021,231,48047,48381,334,DN,2018,Ford,F-150
11/13/2021,231,48435,48644,209,DN,2018,Ford,F-150
11/20/2021,231,48644,48906,262,DN,2018,Ford,F-150
11/27/2021,231,48906,49146,240,DN,2018,Ford,F-150
12/4/2021,231,49146,49326,180,DN,2018,Ford,F-150
12/11/2021,231,49326,49594,268,DN,2018,Ford,F-150
12/18/2021,231,49594,49800,206,DN,2018,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
