Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/9/2021,249,31510,31697,187,PK,2019,Ford,F-150
10/16/2021,249,31697,31885,188,PK,2019,Ford,F-150
10/23/2021,249,31885,31996,111,PK,2019,Ford,F-150
10/30/2021,249,31996,32185,189,PK,2019,Ford,F-150
11/6/2021,249,32185,32410,225,PK,2019,Ford,F-150
11/13/2021,249,32410,32680,270,PK,2019,Ford,F-150
11/20/2021,249,32680,32843,163,PK,2019,Ford,F-150
11/27/2021,249,32843,32867,24,PK,2019,Ford,F-150
12/4/2021,249,32867,33130,263,PK,2019,Ford,F-150
12/11/2021,249,33130,33291,161,PK,2019,Ford,F-150
12/18/2021,249,33291,33530,239,PK,2019,Ford,F-150
1/15/2022,249,33813,34007,194,PK,2019,Ford,F-150
1/22/2022,249,34007,34193,186,PK,2019,Ford,F-150
1/29/2022,249,34193,34446,253,PK,2019,Ford,F-150
2/5/2022,249,34446,34643,197,PK,2019,Ford,F-150
2/19/2022,249,34890,35020,130,PK,2019,Ford,F-150
2/26/2022,249,35020,35148,128,PK,2019,Ford,F-150
3/5/2022,249,35148,35349,201,PK,2019,Ford,F-150
3/12/2022,249,35349,35545,196,PK,2019,Ford,F-150
3/19/2022,249,35545,35581,36,PK,2019,Ford,F-150
3/26/2022,249,35581,35721,140,PK,2019,Ford,F-150
4/2/2022,249,35721,35904,183,PK,2019,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
