Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
12/25/2021,215,100094,100162,68,DN,2018,Ford,F-150
1/1/2022,215,100162,100280,118,DN,2018,Ford,F-150
1/8/2022,215,100280,100496,216,DN,2018,Ford,F-150
1/15/2022,215,100496,100599,103,DN,2018,Ford,F-150
1/22/2022,215,100599,100810,211,DN,2018,Ford,F-150
1/29/2022,215,100810,100928,118,DN,2018,Ford,F-150
2/5/2022,215,100928,101179,251,DN,2018,Ford,F-150
2/19/2022,215,101179,101757,578,DN,2018,Ford,F-150
2/26/2022,215,101757,101850,93,DN,2018,Ford,F-150
3/5/2022,215,101856,102252,396,DN,2018,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
