Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,738,110489,110940,451,SC,2012,Toyota,Tacoma
10/9/2021,738,110940,111879,939,SC,2012,Toyota,Tacoma
10/16/2021,738,111879,112478,599,SC,2012,Toyota,Tacoma
10/23/2021,738,112478,113155,677,SC,2012,Toyota,Tacoma
10/30/2021,738,113155,113881,726,SC,2012,Toyota,Tacoma
11/6/2021,738,113881,114750,869,SC,2012,Toyota,Tacoma
11/13/2021,738,114750,115520,770,SC,2012,Toyota,Tacoma
11/20/2021,738,115520,116455,935,SC,2012,Toyota,Tacoma
11/27/2021,738,116455,117049,594,SC,2012,Toyota,Tacoma
12/4/2021,738,117049,117887,838,SC,2012,Toyota,Tacoma
12/11/2021,738,117887,118586,699,SC,2012,Toyota,Tacoma
12/18/2021,738,118586,119419,833,SC,2012,Toyota,Tacoma
12/25/2021,738,119419,119877,458,SC,2012,Toyota,Tacoma
1/8/2022,738,119929,120343,414,SC,2012,Toyota,Tacoma
1/15/2022,738,120343,121062,719,SC,2012,Toyota,Tacoma
1/22/2022,738,121062,121230,168,SC,2012,Toyota,Tacoma
1/29/2022,738,121230,121919,689,SC,2012,Toyota,Tacoma
2/5/2022,738,121919,122778,859,SC,2012,Toyota,Tacoma
2/19/2022,738,123678,124520,842,SC,2012,Toyota,Tacoma
2/26/2022,738,124520,124966,446,SC,2012,Toyota,Tacoma
3/5/2022,738,124966,125852,886,SC,2012,Toyota,Tacoma
3/12/2022,738,125852,126143,291,SC,2012,Toyota,Tacoma
3/19/2022,738,126143,126985,842,SC,2012,Toyota,Tacoma
3/26/2022,738,126985,127678,693,SC,2012,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
