Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/16/2021,203,67080,67506,426,DN,2017,Ford,F-150
11/6/2021,203,68275,68550,275,DN,2017,Ford,F-150
11/13/2021,203,68550,68885,335,DN,2017,Ford,F-150
11/27/2021,203,69119,69360,241,DN,2017,Ford,F-150
12/4/2021,203,69360,69931,571,DN,2017,Ford,F-150
12/11/2021,203,69931,70421,490,DN,2017,Ford,F-150
12/18/2021,203,70421,70899,478,DN,2017,Ford,F-150
12/25/2021,203,70899,71108,209,DN,2017,Ford,F-150
1/1/2022,203,71108,71218,110,DN,2017,Ford,F-150
1/8/2022,203,71218,71781,563,DN,2017,Ford,F-150
1/15/2022,203,71781,72187,406,DN,2017,Ford,F-150
1/22/2022,203,72187,72639,452,DN,2017,Ford,F-150
1/29/2022,203,72639,73111,472,DN,2017,Ford,F-150
2/5/2022,203,73111,73678,567,DN,2017,Ford,F-150
2/12/2022,203,73678,74239,561,DN,2017,Ford,F-150
2/19/2022,203,74239,74559,320,DN,2017,Ford,F-150
2/26/2022,203,74559,74818,259,DN,2017,Ford,F-150
3/5/2022,203,74818,75317,499,DN,2017,Ford,F-150
3/19/2022,203,75719,75976,257,DN,2017,Ford,F-150
3/26/2022,203,75976,76381,405,DN,2017,Ford,F-150
4/2/2022,203,76381,76688,307,DN,2017,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
