Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
9/18/2021,240,74115,74305,190,GS,2013,Toyota,Tacoma
10/9/2021,240,74305,74425,120,GS,2013,Toyota,Tacoma
10/16/2021,240,74425,74866,441,GS,2013,Toyota,Tacoma
10/23/2021,240,74866,74955,89,GS,2013,Toyota,Tacoma
10/30/2021,240,74955,75195,240,GS,2013,Toyota,Tacoma
11/6/2021,240,75195,75525,330,GS,2013,Toyota,Tacoma
11/13/2021,240,75525,75855,330,GS,2013,Toyota,Tacoma
11/20/2021,240,75855,76090,235,GS,2013,Toyota,Tacoma
11/27/2021,240,76090,76125,35,GS,2013,Toyota,Tacoma
12/4/2021,240,76125,76695,570,GS,2013,Toyota,Tacoma
12/11/2021,240,76695,76775,80,GS,2013,Toyota,Tacoma
12/18/2021,240,76775,77150,375,GS,2013,Toyota,Tacoma
12/25/2021,240,77150,77690,540,GS,2013,Toyota,Tacoma
1/8/2022,240,77690,77995,305,GS,2013,Toyota,Tacoma
1/15/2022,240,77995,78294,299,GS,2013,Toyota,Tacoma
1/22/2022,240,78294,78780,486,GS,2013,Toyota,Tacoma
1/29/2022,240,78780,78800,20,GS,2013,Toyota,Tacoma
2/5/2022,240,78800,78970,170,GS,2013,Toyota,Tacoma
2/19/2022,240,79342,79840,498,GS,2013,Toyota,Tacoma
3/5/2022,240,79840,80455,615,GS,2013,Toyota,Tacoma
3/12/2022,240,80455,80525,70,GS,2013,Toyota,Tacoma
3/19/2022,240,80525,80560,35,GS,2013,Toyota,Tacoma
3/26/2022,240,80660,80825,165,GS,2013,Toyota,Tacoma
4/2/2022,240,80825,80950,125,GS,2013,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
