Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,733,177037,177601,564,SC,2007,Toyota,Tacoma
10/9/2021,733,177601,177792,191,SC,2007,Toyota,Tacoma
10/16/2021,733,177792,178029,237,SC,2007,Toyota,Tacoma
10/23/2021,733,178029,178223,194,SC,2007,Toyota,Tacoma
10/30/2021,733,178223,178864,641,SC,2007,Toyota,Tacoma
11/6/2021,733,178864,178876,12,SC,2007,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
