Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,218,50923,51615,692,DN,2018,Ford,F-150
10/9/2021,218,51615,51955,340,DN,2018,Ford,F-150
10/16/2021,218,51955,52357,402,DN,2018,Ford,F-150
10/23/2021,218,52357,52692,335,DN,2018,Ford,F-150
10/30/2021,218,52692,52781,89,DN,2018,Ford,F-150
11/6/2021,218,52781,53107,326,DN,2018,Ford,F-150
11/13/2021,218,53107,53626,519,DN,2018,Ford,F-150
11/20/2021,218,53626,54582,956,DN,2018,Ford,F-150
11/27/2021,218,54582,54594,12,DN,2018,Ford,F-150
12/4/2021,218,54594,54862,268,DN,2018,Ford,F-150
12/11/2021,218,54862,55115,253,DN,2018,Ford,F-150
12/18/2021,218,55115,55272,157,DN,2018,Ford,F-150
12/25/2021,218,55272,55479,207,DN,2018,Ford,F-150
1/15/2022,218,55568,55652,84,DN,2018,Ford,F-150
1/22/2022,218,55652,55675,23,DN,2018,Ford,F-150
1/29/2022,218,55675,55791,116,DN,2018,Ford,F-150
2/5/2022,218,55791,56149,358,DN,2018,Ford,F-150
2/19/2022,218,56149,56282,133,DN,2018,Ford,F-150
2/19/2022,218,56282,56366,84,DN,2018,Ford,F-150
2/26/2022,218,56366,56423,57,DN,2018,Ford,F-150
3/5/2022,218,56423,57102,679,DN,2018,Ford,F-150
3/12/2022,218,57102,57196,94,DN,2018,Ford,F-150
3/19/2022,218,57196,57345,149,DN,2018,Ford,F-150
3/26/2022,218,57345,58073,728,DN,2018,Ford,F-150
4/2/2022,218,58073,58497,424,DN,2018,Ford,F-150
,,,,,,,,
