Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,233,40266,40592,326,GS,2019,Nissan,Frontier
10/9/2021,233,40592,40781,189,GS,2019,Nissan,Frontier
10/16/2021,233,40781,41197,416,GS,2019,Nissan,Frontier
10/23/2021,233,41197,41379,182,GS,2019,Nissan,Frontier
10/30/2021,233,41379,41470,91,GS,2019,Nissan,Frontier
11/6/2021,233,41470,41894,424,GS,2019,Nissan,Frontier
11/13/2021,233,41894,42275,381,GS,2019,Nissan,Frontier
11/20/2021,233,42275,42554,279,GS,2019,Nissan,Frontier
11/27/2021,233,42554,42793,239,GS,2019,Nissan,Frontier
12/4/2021,233,42793,43026,233,GS,2019,Nissan,Frontier
12/11/2021,233,43026,43264,238,GS,2019,Nissan,Frontier
12/18/2021,233,43264,43849,585,GS,2019,Nissan,Frontier
1/9/2022,233,43849,44004,155,GS,2019,Nissan,Frontier
1/15/2022,233,44004,44510,506,GS,2019,Nissan,Frontier
1/29/2022,233,44510,44839,329,GS,2019,Nissan,Frontier
2/19/2022,233,45278,45897,619,GS,2019,Nissan,Frontier
2/26/2022,233,45897,46476,579,GS,2019,Nissan,Frontier
3/5/2022,233,46476,46837,361,GS,2019,Nissan,Frontier
3/12/2022,233,46837,47177,340,GS,2019,Nissan,Frontier
3/19/2022,233,47177,47651,474,GS,2019,Nissan,Frontier
3/26/2022,233,47651,47994,343,GS,2019,Nissan,Frontier
4/2/2022,233,47994,48578,584,GS,2019,Nissan,Frontier
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
