Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,235,35604,36378,774,CS,2020,Toyota,Tacoma
10/9/2021,235,36378,37110,732,CS,2020,Toyota,Tacoma
10/16/2021,235,37110,37917,807,CS,2020,Toyota,Tacoma
10/23/2021,235,37917,38715,798,CS,2020,Toyota,Tacoma
10/30/2021,235,38715,39405,690,CS,2020,Toyota,Tacoma
11/6/2021,235,39405,40161,756,CS,2020,Toyota,Tacoma
11/13/2021,235,40161,40597,436,CS,2020,Toyota,Tacoma
11/20/2021,235,41012,41512,500,CS,2020,Toyota,Tacoma
11/27/2021,235,41512,41778,266,CS,2020,Toyota,Tacoma
12/4/2021,235,41778,42222,444,CS,2020,Toyota,Tacoma
12/11/2021,235,42222,42980,758,CS,2020,Toyota,Tacoma
12/18/2021,235,42980,43122,142,CS,2020,Toyota,Tacoma
12/25/2021,235,43122,43924,802,CS,2020,Toyota,Tacoma
1/1/2022,235,43924,44508,584,CS,2020,Toyota,Tacoma
1/9/2022,235,44508,45232,724,CS,2020,Toyota,Tacoma
1/15/2022,235,45232,46203,971,CS,2020,Toyota,Tacoma
1/22/2022,235,46203,46929,726,CS,2020,Toyota,Tacoma
1/29/2022,235,46929,47791,862,CS,2020,Toyota,Tacoma
2/5/2022,235,47791,48313,522,CS,2020,Toyota,Tacoma
2/26/2022,235,48313,49176,863,CS,2020,Toyota,Tacoma
2/26/2022,235,49176,49797,621,CS,2020,Toyota,Tacoma
3/5/2022,235,50210,50964,754,CS,2020,Toyota,Tacoma
3/12/2022,235,50964,51237,273,CS,2020,Toyota,Tacoma
3/26/2022,235,51988,52665,677,CS,2020,Toyota,Tacoma
4/2/2022,235,52665,53372,707,CS,2020,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
