Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/9/2021,217,76667,77132,465,PK,2018,Ford,F-150
10/16/2021,217,77132,77425,293,PK,2018,Ford,F-150
10/23/2021,217,77425,77887,462,PK,2018,Ford,F-150
10/30/2021,217,77887,78308,421,PK,2018,Ford,F-150
11/6/2021,217,78308,78671,363,PK,2018,Ford,F-150
11/13/2021,217,78671,79110,439,PK,2018,Ford,F-150
11/20/2021,217,79110,79482,372,PK,2018,Ford,F-150
11/27/2021,217,79482,79700,218,PK,2018,Ford,F-150
12/4/2021,217,79700,79752,52,PK,2018,Ford,F-150
12/11/2021,217,79752,79794,42,PK,2018,Ford,F-150
12/18/2021,217,79794,80329,535,PK,2018,Ford,F-150
1/15/2022,217,81387,81835,448,PK,2018,Ford,F-150
1/22/2022,217,81835,82212,377,PK,2018,Ford,F-150
1/29/2022,217,82212,82397,185,PK,2018,Ford,F-150
2/5/2022,217,82397,82811,414,PK,2018,Ford,F-150
2/19/2022,217,83161,83512,351,PK,2018,Ford,F-150
2/26/2022,217,83512,83779,267,PK,2018,Ford,F-150
3/5/2022,217,83779,84161,382,PK,2018,Ford,F-150
3/12/2022,217,84161,84594,433,PK,2018,Ford,F-150
3/19/2022,217,84594,85022,428,PK,2018,Ford,F-150
3/26/2022,217,85022,85469,447,PK,2018,Ford,F-150
4/2/2022,217,85469,85905,436,PK,2018,Ford,F-150
4/9/2022,217,85905,86474,569,PK,2018,Ford,F-150
4/16/2022,217,86474,86965,491,PK,2018,Ford,F-150
,,,,,,,,
,,,,,,,,
