Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,227,61169,61603,434,FC,2019,Ford,F-150
10/9/2021,227,61603,62373,770,FC,2019,Ford,F-150
10/23/2021,227,62995,63546,551,FC,2019,Ford,F-150
10/30/2021,227,63546,64388,842,FC,2019,Ford,F-150
11/6/2021,227,64388,64810,422,FC,2019,Ford,F-150
11/13/2021,227,64810,65202,392,FC,2019,Ford,F-150
11/20/2021,227,65202,65492,290,FC,2019,Ford,F-150
12/4/2021,227,65958,66632,674,FC,2019,Ford,F-150
12/11/2021,227,66632,67774,1142,FC,2019,Ford,F-150
12/18/2021,227,67774,69270,1496,FC,2019,Ford,F-150
12/25/2021,227,69270,70314,1044,FC,2019,Ford,F-150
1/1/2022,227,70314,70904,590,FC,2019,Ford,F-150
1/8/2022,227,70904,71186,282,FC,2019,Ford,F-150
1/15/2022,227,71186,72056,870,FC,2019,Ford,F-150
1/29/2022,227,72585,73014,429,FC,2019,Ford,F-150
2/5/2022,227,73014,73354,340,FC,2019,Ford,F-150
2/12/2022,227,73354,74414,1060,FC,2019,Ford,F-150
2/19/2022,227,74414,74964,550,FC,2019,Ford,F-150
2/26/2022,227,74964,75302,338,FC,2019,Ford,F-150
3/5/2022,227,75302,76314,1012,FC,2019,Ford,F-150
3/12/2022,227,76314,76810,496,FC,2019,Ford,F-150
3/19/2022,227,76810,77354,544,FC,2019,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
