Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,171,144273,145023,750,DN,2013,Ford,F-150
10/9/2021,171,145023,145307,284,DN,2013,Ford,F-150
10/16/2021,171,145307,146015,708,DN,2013,Ford,F-150
10/23/2021,171,146015,146427,412,DN,2013,Ford,F-150
12/11/2021,171,147550,147858,308,DN,2013,Ford,F-150
1/29/2022,171,148511,148975,464,DN,2013,Ford,F-150
2/12/2022,171,148975,149550,575,DN,2013,Ford,F-150
2/19/2022,171,149550,150875,1325,DN,2013,Ford,F-150
3/12/2022,171,152980,153670,690,DN,2013,Ford,F-150
3/19/2022,171,153670,154900,1230,DN,2013,Ford,F-150
3/26/2022,171,154900,156880,1980,DN,2013,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
