Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
1/23/2021,226,20000,20168,168,CS,2019,Ford,F-150
2/6/2021,226,20180,20300,120,CS,2019,Ford,F-150
10/2/2021,226,32703,33223,520,CS,2019,Ford,F-150
10/9/2021,226,33223,33850,627,CS,2019,Ford,F-150
11/6/2021,226,35072,35440,368,CS,2019,Ford,F-150
11/13/2021,226,35440,35753,313,CS,2019,Ford,F-150
11/20/2021,226,35753,36049,296,CS,2019,Ford,F-150
12/4/2021,226,36400,36689,289,CS,2019,Ford,F-150
12/18/2021,226,37397,37560,163,CS,2019,Ford,F-150
1/1/2022,226,37930,38090,160,CS,2019,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
