Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,741,195725,196075,350,DN,2013,Toyota,Tacoma
10/9/2021,741,196075,196325,250,DN,2013,Toyota,Tacoma
10/16/2021,741,196325,196625,300,DN,2013,Toyota,Tacoma
10/23/2021,741,196625,196975,350,DN,2013,Toyota,Tacoma
10/30/2021,741,196975,197425,450,DN,2013,Toyota,Tacoma
11/6/2021,741,197425,197800,375,DN,2013,Toyota,Tacoma
11/20/2021,741,198050,198425,375,DN,2013,Toyota,Tacoma
11/27/2021,741,198425,198700,275,DN,2013,Toyota,Tacoma
12/11/2021,741,199000,199200,200,DN,2013,Toyota,Tacoma
12/25/2021,741,199400,199650,250,DN,2013,Toyota,Tacoma
1/8/2022,741,199700,200100,400,DN,2013,Toyota,Tacoma
1/15/2022,741,200100,200500,400,DN,2013,Toyota,Tacoma
1/22/2022,741,200500,200850,350,DN,2013,Toyota,Tacoma
2/5/2022,741,201000,201350,350,DN,2013,Toyota,Tacoma
2/19/2022,741,201600,201900,300,DN,2013,Toyota,Tacoma
2/26/2022,741,201900,202150,250,DN,2013,Toyota,Tacoma
3/5/2022,741,202150,202450,300,DN,2013,Toyota,Tacoma
3/12/2022,741,202450,202650,200,DN,2013,Toyota,Tacoma
3/26/2022,741,202975,203135,160,DN,2013,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
