Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/2/2021,213,128478,129299,821,GS,2018,Toyota,Tacoma
10/9/2021,213,129299,130018,719,GS,2018,Toyota,Tacoma
10/16/2021,213,130046,130792,746,GS,2018,Toyota,Tacoma
10/23/2021,213,130792,131270,478,GS,2018,Toyota,Tacoma
10/30/2021,213,131270,131931,661,GS,2018,Toyota,Tacoma
11/6/2021,213,131931,132528,597,GS,2018,Toyota,Tacoma
11/13/2021,213,132528,133131,603,GS,2018,Toyota,Tacoma
11/20/2021,213,133131,133869,738,GS,2018,Toyota,Tacoma
11/27/2021,213,133869,134205,336,GS,2018,Toyota,Tacoma
12/4/2021,213,134205,134951,746,GS,2018,Toyota,Tacoma
12/11/2021,213,134951,135513,562,GS,2018,Toyota,Tacoma
12/18/2021,213,135513,136041,528,GS,2018,Toyota,Tacoma
12/25/2021,213,136041,136434,393,GS,2018,Toyota,Tacoma
1/8/2022,213,136434,137117,683,GS,2018,Toyota,Tacoma
1/15/2022,213,137117,137886,769,GS,2018,Toyota,Tacoma
1/22/2022,213,137886,138358,472,GS,2018,Toyota,Tacoma
1/29/2022,213,138358,139043,685,GS,2018,Toyota,Tacoma
2/5/2022,213,139043,139673,630,GS,2018,Toyota,Tacoma
2/12/2022,213,139673,140300,627,GS,2018,Toyota,Tacoma
2/19/2022,213,140300,140837,537,GS,2018,Toyota,Tacoma
2/26/2022,213,140837,141393,556,GS,2018,Toyota,Tacoma
3/5/2022,213,141393,142185,792,GS,2018,Toyota,Tacoma
3/12/2022,213,142185,142396,211,GS,2018,Toyota,Tacoma
3/19/2022,213,142396,143122,726,GS,2018,Toyota,Tacoma
3/26/2022,213,143122,143719,597,GS,2018,Toyota,Tacoma
4/2/2022,213,143719,144192,473,GS,2018,Toyota,Tacoma
