Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
10/9/2021,250,37689,37869,180,DN,2017,Ford,F-150
10/16/2021,250,37869,38246,377,DN,2017,Ford,F-150
10/23/2021,250,38246,38710,464,DN,2017,Ford,F-150
10/30/2021,250,38733,39106,373,DN,2017,Ford,F-150
11/6/2021,250,39106,39431,325,DN,2017,Ford,F-150
11/13/2021,250,39431,39921,490,DN,2017,Ford,F-150
11/27/2021,250,40218,40333,115,DN,2017,Ford,F-150
12/4/2021,250,40333,40673,340,DN,2017,Ford,F-150
12/11/2021,250,40673,40981,308,DN,2017,Ford,F-150
12/18/2021,250,40981,41293,312,DN,2017,Ford,F-150
12/25/2021,250,41313,41501,188,DN,2017,Ford,F-150
1/15/2022,250,41653,41819,166,DN,2017,Ford,F-150
2/12/2022,250,42035,42652,617,DN,2017,Ford,F-150
2/26/2022,250,42842,43441,599,DN,2017,Ford,F-150
3/5/2022,250,43470,43630,160,DN,2017,Ford,F-150
3/12/2022,250,43630,44092,462,DN,2017,Ford,F-150
3/19/2022,250,44092,44618,526,DN,2017,Ford,F-150
3/26/2022,250,44618,44948,330,DN,2017,Ford,F-150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
