Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
9/25/2021,740,126441,126606,165,DN,2012,Toyota,Tacoma
10/9/2021,740,126846,127134,288,DN,2012,Toyota,Tacoma
10/16/2021,740,127134,127458,324,DN,2012,Toyota,Tacoma
10/23/2021,740,127458,128156,698,DN,2012,Toyota,Tacoma
10/30/2021,740,128156,128684,528,DN,2012,Toyota,Tacoma
11/6/2021,740,128684,129226,542,DN,2012,Toyota,Tacoma
11/20/2021,740,129717,130259,542,DN,2012,Toyota,Tacoma
12/4/2021,740,130474,131035,561,DN,2012,Toyota,Tacoma
12/18/2021,740,131660,132110,450,DN,2012,Toyota,Tacoma
12/25/2021,740,132110,132662,552,DN,2012,Toyota,Tacoma
1/8/2022,740,132662,133033,371,DN,2012,Toyota,Tacoma
1/22/2022,740,133555,134094,539,DN,2012,Toyota,Tacoma
1/29/2022,740,134094,134473,379,DN,2012,Toyota,Tacoma
2/5/2022,740,134473,134662,189,DN,2012,Toyota,Tacoma
2/12/2022,740,134662,135205,543,DN,2012,Toyota,Tacoma
2/19/2022,740,135205,135562,357,DN,2012,Toyota,Tacoma
2/26/2022,740,135562,135669,107,DN,2012,Toyota,Tacoma
3/5/2022,740,135717,136276,559,DN,2012,Toyota,Tacoma
3/12/2022,740,136276,136685,409,DN,2012,Toyota,Tacoma
3/26/2022,740,137122,137704,582,DN,2012,Toyota,Tacoma
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
