Week_Ending,Vehicle,Beginning_Mileage,Ending_Mileage,Total_Miles,Office,Year,Make,Model
9/4/2021,223,44141,44411,270,CS,2015,Ford,F-150
9/11/2021,223,44411,44833,422,CS,2015,Ford,F-150
9/18/2021,223,44833,45094,261,CS,2015,Ford,F-150
9/25/2021,223,45094,45349,255,CS,2015,Ford,F-150
10/2/2021,223,45349,45626,277,CS,2015,Ford,F-150
10/9/2021,223,45626,46299,673,CS,2015,Ford,F-150
10/16/2021,223,46299,46680,381,CS,2015,Ford,F-150
10/23/2021,223,46680,47080,400,CS,2015,Ford,F-150
10/30/2021,223,47080,47678,598,CS,2015,Ford,F-150
11/6/2021,223,47678,48072,394,CS,2015,Ford,F-150
11/13/2021,223,48072,48616,544,CS,2015,Ford,F-150
11/20/2021,223,48616,49057,441,CS,2015,Ford,F-150
11/27/2021,223,49057,49237,180,CS,2015,Ford,F-150
12/4/2021,223,49237,49447,210,CS,2015,Ford,F-150
12/11/2021,223,49447,49714,267,CS,2015,Ford,F-150
12/18/2021,223,49714,50070,356,CS,2015,Ford,F-150
12/25/2021,223,50070,50214,144,CS,2015,Ford,F-150
1/1/2022,223,50214,50352,138,CS,2015,Ford,F-150
1/8/2022,223,50352,50918,566,CS,2015,Ford,F-150
1/15/2022,223,50918,51131,213,CS,2015,Ford,F-150
1/22/2022,223,51131,51426,295,CS,2015,Ford,F-150
1/29/2022,223,51426,51815,389,CS,2015,Ford,F-150
2/5/2022,223,51815,51961,146,CS,2015,Ford,F-150
2/12/2022,223,51961,52284,323,CS,2015,Ford,F-150
2/19/2022,223,52284,52533,249,CS,2015,Ford,F-150
2/26/2022,223,52533,53033,500,CS,2015,Ford,F-150
3/5/2022,223,53033,53552,519,CS,2015,Ford,F-150
3/12/2022,223,53552,53976,424,CS,2015,Ford,F-150
3/19/2022,223,53976,54511,535,CS,2015,Ford,F-150
3/26/2022,223,54511,54939,428,CS,2015,Ford,F-150
4/2/2022,223,54939,55394,455,CS,2015,Ford,F-150
