Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,213,129299
2,10/9/2021,213,130018
3,10/16/2021,213,130792
4,10/23/2021,213,131270
5,10/30/2021,213,131931
6,11/6/2021,213,132528
7,11/13/2021,213,133131
8,11/20/2021,213,133869
9,11/27/2021,213,134205
10,12/4/2021,213,134951
11,12/11/2021,213,135513
12,12/18/2021,213,136041
13,12/25/2021,213,136434
14,1/1/2022,213,
15,1/8/2022,213,137117
16,1/15/2022,213,137886
17,1/22/2022,213,138358
18,1/29/2022,213,139043
19,2/5/2022,213,139673
20,2/12/2022,213,140300
21,2/19/2022,213,140837
22,2/26/2022,213,141393
23,3/5/2022,213,142185
24,3/12/2022,213,142396
25,3/19/2022,213,143122
26,3/26/2022,213,143719
27,4/2/2022,213,144192
28,4/9/2022,213,
29,4/16/2022,213,
