Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,251,4146
2,10/9/2021,251,4675
3,10/16/2021,251,5076
4,10/23/2021,251,5394
5,10/30/2021,251,5863
6,11/6/2021,251,6406
7,11/13/2021,251,6914
8,11/20/2021,251,7328
9,11/27/2021,251,7860
10,12/4/2021,251,8851
11,12/11/2021,251,9788
12,12/18/2021,251,10619
13,12/25/2021,251,11315
14,1/1/2022,251,12096
15,1/8/2022,251,12983
16,1/15/2022,251,13881
17,1/22/2022,251,14653
18,1/29/2022,251,
19,2/5/2022,251,
20,2/12/2022,251,15709
21,2/19/2022,251,16558
22,2/26/2022,251,17251
23,3/5/2022,251,18243
24,3/12/2022,251,19355
25,3/19/2022,251,20142
26,3/26/2022,251,21148
27,4/2/2022,251,
28,4/9/2022,251,
29,4/16/2022,251,
