Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,223,45626
2,10/9/2021,223,46299
3,10/16/2021,223,46680
4,10/23/2021,223,47080
5,10/30/2021,223,47678
6,11/6/2021,223,48072
7,11/13/2021,223,48616
8,11/20/2021,223,49057
9,11/27/2021,223,49237
10,12/4/2021,223,49447
11,12/11/2021,223,49714
12,12/18/2021,223,50070
13,12/25/2021,223,50214
14,1/1/2022,223,50352
15,1/8/2022,223,50918
16,1/15/2022,223,51131
17,1/22/2022,223,51426
18,1/29/2022,223,51815
19,2/5/2022,223,51961
20,2/12/2022,223,52284
21,2/19/2022,223,52533
22,2/26/2022,223,53033
23,3/5/2022,223,53552
24,3/12/2022,223,53976
25,3/19/2022,223,54511
26,3/26/2022,223,54939
27,4/2/2022,223,55394
28,4/9/2022,223,
29,4/16/2022,223,
