Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,217,
2,10/9/2021,217,77132
3,10/16/2021,217,77425
4,10/23/2021,217,77887
5,10/30/2021,217,78308
6,11/6/2021,217,78671
7,11/13/2021,217,79110
8,11/20/2021,217,79482
9,11/27/2021,217,79700
10,12/4/2021,217,79752
11,12/11/2021,217,79794
12,12/18/2021,217,80329
13,12/25/2021,217,
14,1/1/2022,217,
15,1/8/2022,217,
16,1/15/2022,217,81835
17,1/22/2022,217,82212
18,1/29/2022,217,82397
19,2/5/2022,217,82811
20,2/12/2022,217,
21,2/19/2022,217,83512
22,2/26/2022,217,83779
23,3/5/2022,217,84161
24,3/12/2022,217,84594
25,3/19/2022,217,85022
26,3/26/2022,217,85469
27,4/2/2022,217,85905
28,4/9/2022,217,86474
29,4/16/2022,217,86965
