Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,191,
2,10/9/2021,191,218940
3,10/16/2021,191,219868
4,10/23/2021,191,219962
5,10/30/2021,191,220940
6,11/6/2021,191,221720
7,11/13/2021,191,222380
8,11/20/2021,191,223310
9,11/27/2021,191,223720
10,12/4/2021,191,224220
11,12/11/2021,191,224940
12,12/18/2021,191,225600
13,12/25/2021,191,226050
14,1/1/2022,191,226450
15,1/8/2022,191,227050
16,1/15/2022,191,227790
17,1/22/2022,191,228150
18,1/29/2022,191,228450
19,2/5/2022,191,228840
20,2/12/2022,191,230040
21,2/19/2022,191,
22,2/26/2022,191,
23,3/5/2022,191,230920
24,3/12/2022,191,231260
25,3/19/2022,191,231850
26,3/26/2022,191,232330
27,4/2/2022,191,
28,4/9/2022,191,
29,4/16/2022,191,
