Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,174,154342
2,10/9/2021,174,154914
3,10/16/2021,174,155602
4,10/23/2021,174,156400
5,10/30/2021,174,157105
6,11/6/2021,174,157600
7,11/13/2021,174,
8,11/20/2021,174,158498
9,11/27/2021,174,158900
10,12/4/2021,174,
11,12/11/2021,174,
12,12/18/2021,174,160152
13,12/25/2021,174,160535
14,1/1/2022,174,160931
15,1/8/2022,174,161420
16,1/15/2022,174,161910
17,1/22/2022,174,162421
18,1/29/2022,174,163023
19,2/5/2022,174,163456
20,2/12/2022,174,164100
21,2/19/2022,174,164613
22,2/26/2022,174,165070
23,3/5/2022,174,165543
24,3/12/2022,174,165911
25,3/19/2022,174,166378
26,3/26/2022,174,
27,4/2/2022,174,
28,4/9/2022,174,
29,4/16/2022,174,
