Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,738,110940
2,10/9/2021,738,111879
3,10/16/2021,738,112478
4,10/23/2021,738,113155
5,10/30/2021,738,113881
6,11/6/2021,738,114750
7,11/13/2021,738,115520
8,11/20/2021,738,116455
9,11/27/2021,738,117049
10,12/4/2021,738,117887
11,12/11/2021,738,118586
12,12/18/2021,738,119419
13,12/25/2021,738,119877
14,1/1/2022,738,
15,1/8/2022,738,120343
16,1/15/2022,738,121062
17,1/22/2022,738,121230
18,1/29/2022,738,121919
19,2/5/2022,738,122778
20,2/12/2022,738,
21,2/19/2022,738,124520
22,2/26/2022,738,124966
23,3/5/2022,738,125852
24,3/12/2022,738,126143
25,3/19/2022,738,126985
26,3/26/2022,738,127678
27,4/2/2022,738,
28,4/9/2022,738,
29,4/16/2022,738,
