Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,200,135824
2,10/9/2021,200,136192
3,10/16/2021,200,136524
4,10/23/2021,200,137063
5,10/30/2021,200,137348
6,11/6/2021,200,138014
7,11/13/2021,200,138369
8,11/20/2021,200,138606
9,11/27/2021,200,
10,12/4/2021,200,138938
11,12/11/2021,200,139298
12,12/18/2021,200,139512
13,12/25/2021,200,139621
14,1/1/2022,200,139842
15,1/8/2022,200,140062
16,1/15/2022,200,140288
17,1/22/2022,200,
18,1/29/2022,200,140542
19,2/5/2022,200,140705
20,2/12/2022,200,
21,2/19/2022,200,141437
22,2/26/2022,200,
23,3/5/2022,200,142007
24,3/12/2022,200,142309
25,3/19/2022,200,142559
26,3/26/2022,200,
27,4/2/2022,200,
28,4/9/2022,200,
29,4/16/2022,200,
