Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,184,126543
2,10/9/2021,184,126959
3,10/16/2021,184,127443
4,10/23/2021,184,127801
5,10/30/2021,184,128059
6,11/6/2021,184,128463
7,11/13/2021,184,128910
8,11/20/2021,184,129315
9,11/27/2021,184,129568
10,12/4/2021,184,129913
11,12/11/2021,184,
12,12/18/2021,184,130597
13,12/25/2021,184,130732
14,1/1/2022,184,130910
15,1/8/2022,184,131058
16,1/15/2022,184,131310
17,1/22/2022,184,131410
18,1/29/2022,184,131529
19,2/5/2022,184,131770
20,2/12/2022,184,132205
21,2/19/2022,184,132533
22,2/26/2022,184,132743
23,3/5/2022,184,133138
24,3/12/2022,184,133481
25,3/19/2022,184,133895
26,3/26/2022,184,134294
27,4/2/2022,184,
28,4/9/2022,184,
29,4/16/2022,184,
