Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,205,96725
2,10/9/2021,205,97666
3,10/16/2021,205,98887
4,10/23/2021,205,99793
5,10/30/2021,205,100636
6,11/6/2021,205,
7,11/13/2021,205,102218
8,11/20/2021,205,102711
9,11/27/2021,205,
10,12/4/2021,205,103439
11,12/11/2021,205,103977
12,12/18/2021,205,104565
13,12/25/2021,205,105157
14,1/1/2022,205,105830
15,1/8/2022,205,
16,1/15/2022,205,
17,1/22/2022,205,
18,1/29/2022,205,
19,2/5/2022,205,
20,2/12/2022,205,106755
21,2/19/2022,205,106997
22,2/26/2022,205,
23,3/5/2022,205,
24,3/12/2022,205,107612
25,3/19/2022,205,107976
26,3/26/2022,205,108359
27,4/2/2022,205,108822
28,4/9/2022,205,
29,4/16/2022,205,110317
