Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,198,
2,10/9/2021,198,
3,10/16/2021,198,
4,10/23/2021,198,
5,10/30/2021,198,
6,11/6/2021,198,91810
7,11/13/2021,198,92274
8,11/20/2021,198,92767
9,11/27/2021,198,93382
10,12/4/2021,198,93945
11,12/11/2021,198,94447
12,12/18/2021,198,94840
13,12/25/2021,198,95131
14,1/1/2022,198,
15,1/8/2022,198,96047
16,1/15/2022,198,96482
17,1/22/2022,198,96784
18,1/29/2022,198,97027
19,2/5/2022,198,97487
20,2/12/2022,198,97908
21,2/19/2022,198,98108
22,2/26/2022,198,
23,3/5/2022,198,
24,3/12/2022,198,
25,3/19/2022,198,
26,3/26/2022,198,
27,4/2/2022,198,
28,4/9/2022,198,
29,4/16/2022,198,
