Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,187,
2,10/9/2021,187,134125
3,10/16/2021,187,134770
4,10/23/2021,187,135171
5,10/30/2021,187,135687
6,11/6/2021,187,136120
7,11/13/2021,187,136515
8,11/20/2021,187,136882
9,11/27/2021,187,137022
10,12/4/2021,187,137351
11,12/11/2021,187,137477
12,12/18/2021,187,137557
13,12/25/2021,187,
14,1/1/2022,187,
15,1/8/2022,187,
16,1/15/2022,187,138263
17,1/22/2022,187,138483
18,1/29/2022,187,138760
19,2/5/2022,187,
20,2/12/2022,187,
21,2/19/2022,187,139137
22,2/26/2022,187,139266
23,3/5/2022,187,139641
24,3/12/2022,187,139965
25,3/19/2022,187,140078
26,3/26/2022,187,140680
27,4/2/2022,187,141298
28,4/9/2022,187,141678
29,4/16/2022,187,142074
