Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,216,95897
2,10/9/2021,216,95973
3,10/16/2021,216,96268
4,10/23/2021,216,96487
5,10/30/2021,216,96705
6,11/6/2021,216,97178
7,11/13/2021,216,97474
8,11/20/2021,216,97839
9,11/27/2021,216,98084
10,12/4/2021,216,98400
11,12/11/2021,216,98545
12,12/18/2021,216,98897
13,12/25/2021,216,99066
14,1/1/2022,216,99225
15,1/8/2022,216,99369
16,1/15/2022,216,99853
17,1/22/2022,216,100127
18,1/29/2022,216,100463
19,2/5/2022,216,100781
20,2/12/2022,216,100881
21,2/19/2022,216,101141
22,2/26/2022,216,
23,3/5/2022,216,
24,3/12/2022,216,
25,3/19/2022,216,
26,3/26/2022,216,
27,4/2/2022,216,
28,4/9/2022,216,
29,4/16/2022,216,
