Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,743,
2,10/9/2021,743,152406
3,10/16/2021,743,152907
4,10/23/2021,743,153720
5,10/30/2021,743,154364
6,11/6/2021,743,154811
7,11/13/2021,743,155226
8,11/20/2021,743,155232
9,11/27/2021,743,155581
10,12/4/2021,743,155947
11,12/11/2021,743,156207
12,12/18/2021,743,156658
13,12/25/2021,743,
14,1/1/2022,743,
15,1/8/2022,743,
16,1/15/2022,743,157302
17,1/22/2022,743,157700
18,1/29/2022,743,157919
19,2/5/2022,743,158327
20,2/12/2022,743,
21,2/19/2022,743,159113
22,2/26/2022,743,159340
23,3/5/2022,743,159632
24,3/12/2022,743,159838
25,3/19/2022,743,160178
26,3/26/2022,743,160460
27,4/2/2022,743,160835
28,4/9/2022,743,161228
29,4/16/2022,743,161527
