Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,240,
2,10/9/2021,240,74425
3,10/16/2021,240,74866
4,10/23/2021,240,74955
5,10/30/2021,240,75195
6,11/6/2021,240,75525
7,11/13/2021,240,75855
8,11/20/2021,240,76090
9,11/27/2021,240,76125
10,12/4/2021,240,76695
11,12/11/2021,240,76775
12,12/18/2021,240,77150
13,12/25/2021,240,77690
14,1/1/2022,240,
15,1/8/2022,240,77995
16,1/15/2022,240,78294
17,1/22/2022,240,78780
18,1/29/2022,240,78800
19,2/5/2022,240,78970
20,2/12/2022,240,
21,2/19/2022,240,79840
22,2/26/2022,240,
23,3/5/2022,240,80455
24,3/12/2022,240,80525
25,3/19/2022,240,80560
26,3/26/2022,240,80825
27,4/2/2022,240,80950
28,4/9/2022,240,
29,4/16/2022,240,
