Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,741,196075
2,10/9/2021,741,196325
3,10/16/2021,741,196625
4,10/23/2021,741,196975
5,10/30/2021,741,197425
6,11/6/2021,741,197800
7,11/13/2021,741,
8,11/20/2021,741,198425
9,11/27/2021,741,198700
10,12/4/2021,741,
11,12/11/2021,741,199200
12,12/18/2021,741,
13,12/25/2021,741,199650
14,1/1/2022,741,
15,1/8/2022,741,200100
16,1/15/2022,741,200500
17,1/22/2022,741,200850
18,1/29/2022,741,
19,2/5/2022,741,201350
20,2/12/2022,741,
21,2/19/2022,741,201900
22,2/26/2022,741,202150
23,3/5/2022,741,202450
24,3/12/2022,741,202650
25,3/19/2022,741,
26,3/26/2022,741,203135
27,4/2/2022,741,
28,4/9/2022,741,
29,4/16/2022,741,
