Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,207,77984
2,10/9/2021,207,78154
3,10/16/2021,207,78904
4,10/23/2021,207,79258
5,10/30/2021,207,79630
6,11/6/2021,207,
7,11/13/2021,207,80420
8,11/20/2021,207,80720
9,11/27/2021,207,80753
10,12/4/2021,207,81137
11,12/11/2021,207,81508
12,12/18/2021,207,81840
13,12/25/2021,207,82014
14,1/1/2022,207,
15,1/8/2022,207,82566
16,1/15/2022,207,82596
17,1/22/2022,207,82731
18,1/29/2022,207,83107
19,2/5/2022,207,83584
20,2/12/2022,207,84118
21,2/19/2022,207,84315
22,2/26/2022,207,84641
23,3/5/2022,207,85023
24,3/12/2022,207,85378
25,3/19/2022,207,85713
26,3/26/2022,207,86133
27,4/2/2022,207,86485
28,4/9/2022,207,
29,4/16/2022,207,
