Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,244,
2,10/9/2021,244,
3,10/16/2021,244,
4,10/23/2021,244,
5,10/30/2021,244,39055
6,11/6/2021,244,39567
7,11/13/2021,244,40335
8,11/20/2021,244,40981
9,11/27/2021,244,
10,12/4/2021,244,
11,12/11/2021,244,
12,12/18/2021,244,
13,12/25/2021,244,44172
14,1/1/2022,244,44450
15,1/8/2022,244,
16,1/15/2022,244,44892
17,1/22/2022,244,45318
18,1/29/2022,244,45925
19,2/5/2022,244,46798
20,2/12/2022,244,47225
21,2/19/2022,244,48121
22,2/26/2022,244,48695
23,3/5/2022,244,49450
24,3/12/2022,244,50005
25,3/19/2022,244,51120
26,3/26/2022,244,51375
27,4/2/2022,244,
28,4/9/2022,244,
29,4/16/2022,244,
