Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,249,
2,10/9/2021,249,31697
3,10/16/2021,249,31885
4,10/23/2021,249,31996
5,10/30/2021,249,32185
6,11/6/2021,249,32410
7,11/13/2021,249,32680
8,11/20/2021,249,32843
9,11/27/2021,249,32867
10,12/4/2021,249,33130
11,12/11/2021,249,33291
12,12/18/2021,249,33530
13,12/25/2021,249,
14,1/1/2022,249,
15,1/8/2022,249,
16,1/15/2022,249,34007
17,1/22/2022,249,34193
18,1/29/2022,249,34446
19,2/5/2022,249,34643
20,2/12/2022,249,
21,2/19/2022,249,35020
22,2/26/2022,249,35148
23,3/5/2022,249,35349
24,3/12/2022,249,35545
25,3/19/2022,249,35581
26,3/26/2022,249,35721
27,4/2/2022,249,35904
28,4/9/2022,249,
29,4/16/2022,249,
