Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,203,
2,10/9/2021,203,
3,10/16/2021,203,67506
4,10/23/2021,203,
5,10/30/2021,203,
6,11/6/2021,203,68550
7,11/13/2021,203,68885
8,11/20/2021,203,
9,11/27/2021,203,69360
10,12/4/2021,203,69931
11,12/11/2021,203,70421
12,12/18/2021,203,70899
13,12/25/2021,203,71108
14,1/1/2022,203,71218
15,1/8/2022,203,71781
16,1/15/2022,203,72187
17,1/22/2022,203,72639
18,1/29/2022,203,73111
19,2/5/2022,203,73678
20,2/12/2022,203,74239
21,2/19/2022,203,74559
22,2/26/2022,203,74818
23,3/5/2022,203,75317
24,3/12/2022,203,
25,3/19/2022,203,75976
26,3/26/2022,203,76381
27,4/2/2022,203,76688
28,4/9/2022,203,
29,4/16/2022,203,
