Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,218,51615
2,10/9/2021,218,51955
3,10/16/2021,218,52357
4,10/23/2021,218,52692
5,10/30/2021,218,52781
6,11/6/2021,218,53107
7,11/13/2021,218,53626
8,11/20/2021,218,54582
9,11/27/2021,218,54594
10,12/4/2021,218,54862
11,12/11/2021,218,55115
12,12/18/2021,218,55272
13,12/25/2021,218,55479
14,1/1/2022,218,
15,1/8/2022,218,
16,1/15/2022,218,55652
17,1/22/2022,218,55675
18,1/29/2022,218,55791
19,2/5/2022,218,56149
20,2/12/2022,218,56282
21,2/19/2022,218,56366
22,2/26/2022,218,56423
23,3/5/2022,218,57102
24,3/12/2022,218,57196
25,3/19/2022,218,57345
26,3/26/2022,218,58073
27,4/2/2022,218,58497
28,4/9/2022,218,
29,4/16/2022,218,
