Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,192,137008
2,10/9/2021,192,137673
3,10/16/2021,192,
4,10/23/2021,192,138715
5,10/30/2021,192,139091
6,11/6/2021,192,139517
7,11/13/2021,192,139983
8,11/20/2021,192,140536
9,11/27/2021,192,140818
10,12/4/2021,192,141167
11,12/11/2021,192,141555
12,12/18/2021,192,142208
13,12/25/2021,192,142659
14,1/1/2022,192,143026
15,1/8/2022,192,143473
16,1/15/2022,192,143929
17,1/22/2022,192,144450
18,1/29/2022,192,144847
19,2/5/2022,192,145095
20,2/12/2022,192,145501
21,2/19/2022,192,146306
22,2/26/2022,192,146783
23,3/5/2022,192,147459
24,3/12/2022,192,147998
25,3/19/2022,192,148298
26,3/26/2022,192,
27,4/2/2022,192,
28,4/9/2022,192,
29,4/16/2022,192,
