Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,233,40592
2,10/9/2021,233,40781
3,10/16/2021,233,41197
4,10/23/2021,233,41379
5,10/30/2021,233,41470
6,11/6/2021,233,41894
7,11/13/2021,233,42275
8,11/20/2021,233,42554
9,11/27/2021,233,42793
10,12/4/2021,233,43026
11,12/11/2021,233,43264
12,12/18/2021,233,43849
13,12/25/2021,233,
14,1/1/2022,233,
15,1/8/2022,233,44004
16,1/15/2022,233,44510
17,1/22/2022,233,
18,1/29/2022,233,44839
19,2/5/2022,233,
20,2/12/2022,233,
21,2/19/2022,233,45897
22,2/26/2022,233,46476
23,3/5/2022,233,46837
24,3/12/2022,233,47177
25,3/19/2022,233,47651
26,3/26/2022,233,47994
27,4/2/2022,233,48578
28,4/9/2022,233,
29,4/16/2022,233,
