Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,160,66002
2,10/9/2021,160,66037
3,10/16/2021,160,66063
4,10/23/2021,160,66131
5,10/30/2021,160,66246
6,11/6/2021,160,66315
7,11/13/2021,160,66361
8,11/20/2021,160,66442
9,11/27/2021,160,
10,12/4/2021,160,66514
11,12/11/2021,160,66570
12,12/18/2021,160,66629
13,12/25/2021,160,66667
14,1/1/2022,160,66707
15,1/8/2022,160,66776
16,1/15/2022,160,66839
17,1/22/2022,160,66885
18,1/29/2022,160,66942
19,2/5/2022,160,67700
20,2/12/2022,160,67057
21,2/19/2022,160,67115
22,2/26/2022,160,67177
23,3/5/2022,160,67234
24,3/12/2022,160,67292
25,3/19/2022,160,67332
26,3/26/2022,160,
27,4/2/2022,160,67377
28,4/9/2022,160,
29,4/16/2022,160,
