Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,229,
2,10/9/2021,229,
3,10/16/2021,229,
4,10/23/2021,229,21945
5,10/30/2021,229,22450
6,11/6/2021,229,22874
7,11/13/2021,229,23388
8,11/20/2021,229,23779
9,11/27/2021,229,24002
10,12/4/2021,229,24438
11,12/11/2021,229,
12,12/18/2021,229,25276
13,12/25/2021,229,25570
14,1/1/2022,229,25927
15,1/8/2022,229,26238
16,1/15/2022,229,26676
17,1/22/2022,229,27037
18,1/29/2022,229,
19,2/5/2022,229,
20,2/12/2022,229,
21,2/19/2022,229,
22,2/26/2022,229,
23,3/5/2022,229,29009
24,3/12/2022,229,29300
25,3/19/2022,229,
26,3/26/2022,229,30127
27,4/2/2022,229,
28,4/9/2022,229,
29,4/16/2022,229,
