Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,245,16527
2,10/9/2021,245,16861
3,10/16/2021,245,17149
4,10/23/2021,245,17441
5,10/30/2021,245,17821
6,11/6/2021,245,
7,11/13/2021,245,18448
8,11/20/2021,245,18826
9,11/27/2021,245,19050
10,12/4/2021,245,19426
11,12/11/2021,245,19890
12,12/18/2021,245,20320
13,12/25/2021,245,20815
14,1/1/2022,245,21400
15,1/8/2022,245,22457
16,1/15/2022,245,
17,1/22/2022,245,22808
18,1/29/2022,245,23447
19,2/5/2022,245,23986
20,2/12/2022,245,24868
21,2/19/2022,245,
22,2/26/2022,245,25192
23,3/5/2022,245,25683
24,3/12/2022,245,26220
25,3/19/2022,245,26465
26,3/26/2022,245,27034
27,4/2/2022,245,
28,4/9/2022,245,
29,4/16/2022,245,
