Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,185,
2,10/9/2021,185,
3,10/16/2021,185,124811
4,10/23/2021,185,
5,10/30/2021,185,125181
6,11/6/2021,185,125266
7,11/13/2021,185,125436
8,11/20/2021,185,125744
9,11/27/2021,185,125912
10,12/4/2021,185,126172
11,12/11/2021,185,126462
12,12/18/2021,185,126601
13,12/25/2021,185,
14,1/1/2022,185,
15,1/8/2022,185,
16,1/15/2022,185,127753
17,1/22/2022,185,127960
18,1/29/2022,185,128133
19,2/5/2022,185,128327
20,2/12/2022,185,128642
21,2/19/2022,185,128943
22,2/26/2022,185,128966
23,3/5/2022,185,129637
24,3/12/2022,185,130105
25,3/19/2022,185,130676
26,3/26/2022,185,131350
27,4/2/2022,185,
28,4/9/2022,185,
29,4/16/2022,185,
