Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,179,187562
2,10/9/2021,179,187712
3,10/16/2021,179,188252
4,10/23/2021,179,188322
5,10/30/2021,179,
6,11/6/2021,179,189342
7,11/13/2021,179,
8,11/20/2021,179,189462
9,11/27/2021,179,189632
10,12/4/2021,179,189792
11,12/11/2021,179,190050
12,12/18/2021,179,190235
13,12/25/2021,179,190295
14,1/1/2022,179,
15,1/8/2022,179,
16,1/15/2022,179,190855
17,1/22/2022,179,191125
18,1/29/2022,179,
19,2/5/2022,179,191215
20,2/12/2022,179,191680
21,2/19/2022,179,191836
22,2/26/2022,179,192031
23,3/5/2022,179,
24,3/12/2022,179,
25,3/19/2022,179,
26,3/26/2022,179,
27,4/2/2022,179,
28,4/9/2022,179,
29,4/16/2022,179,
