Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,209,
2,10/9/2021,209,68483
3,10/16/2021,209,68907
4,10/23/2021,209,69254
5,10/30/2021,209,
6,11/6/2021,209,69830
7,11/13/2021,209,70300
8,11/20/2021,209,70806
9,11/27/2021,209,71152
10,12/4/2021,209,71610
11,12/11/2021,209,72083
12,12/18/2021,209,72468
13,12/25/2021,209,
14,1/1/2022,209,
15,1/8/2022,209,
16,1/15/2022,209,74069
17,1/22/2022,209,74477
18,1/29/2022,209,74817
19,2/5/2022,209,75457
20,2/12/2022,209,
21,2/19/2022,209,76376
22,2/26/2022,209,76831
23,3/5/2022,209,77381
24,3/12/2022,209,77815
25,3/19/2022,209,78194
26,3/26/2022,209,
27,4/2/2022,209,79518
28,4/9/2022,209,80161
29,4/16/2022,209,80758
