Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,204,107010
2,10/9/2021,204,107700
3,10/16/2021,204,108310
4,10/23/2021,204,108460
5,10/30/2021,204,108690
6,11/6/2021,204,108860
7,11/13/2021,204,109050
8,11/20/2021,204,109250
9,11/27/2021,204,109450
10,12/4/2021,204,109700
11,12/11/2021,204,109960
12,12/18/2021,204,110110
13,12/25/2021,204,110410
14,1/1/2022,204,110665
15,1/8/2022,204,110920
16,1/15/2022,204,111220
17,1/22/2022,204,111500
18,1/29/2022,204,111860
19,2/5/2022,204,112190
20,2/12/2022,204,
21,2/19/2022,204,113020
22,2/26/2022,204,113420
23,3/5/2022,204,113760
24,3/12/2022,204,114200
25,3/19/2022,204,114570
26,3/26/2022,204,115115
27,4/2/2022,204,
28,4/9/2022,204,
29,4/16/2022,204,
