Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,228,
2,10/9/2021,228,
3,10/16/2021,228,
4,10/23/2021,228,26758
5,10/30/2021,228,
6,11/6/2021,228,
7,11/13/2021,228,
8,11/20/2021,228,26924
9,11/27/2021,228,27124
10,12/4/2021,228,27233
11,12/11/2021,228,27376
12,12/18/2021,228,27639
13,12/25/2021,228,27925
14,1/1/2022,228,28068
15,1/8/2022,228,28257
16,1/15/2022,228,28339
17,1/22/2022,228,28841
18,1/29/2022,228,29160
19,2/5/2022,228,29295
20,2/12/2022,228,
21,2/19/2022,228,30192
22,2/26/2022,228,30250
23,3/5/2022,228,30875
24,3/12/2022,228,30999
25,3/19/2022,228,31190
26,3/26/2022,228,31731
27,4/2/2022,228,
28,4/9/2022,228,
29,4/16/2022,228,
