Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,222,35741
2,10/9/2021,222,36163
3,10/16/2021,222,36490
4,10/23/2021,222,36982
5,10/30/2021,222,37688
6,11/6/2021,222,
7,11/13/2021,222,
8,11/20/2021,222,
9,11/27/2021,222,
10,12/4/2021,222,
11,12/11/2021,222,39258
12,12/18/2021,222,
13,12/25/2021,222,40379
14,1/1/2022,222,40684
15,1/8/2022,222,41188
16,1/15/2022,222,4174
17,1/22/2022,222,42263
18,1/29/2022,222,42792
19,2/5/2022,222,43124
20,2/12/2022,222,43646
21,2/19/2022,222,44168
22,2/26/2022,222,44299
23,3/5/2022,222,44841
24,3/12/2022,222,45433
25,3/19/2022,222,46078
26,3/26/2022,222,46839
27,4/2/2022,222,47638
28,4/9/2022,222,
29,4/16/2022,222,
