Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,746,140385
2,10/9/2021,746,141121
3,10/16/2021,746,
4,10/23/2021,746,142023
5,10/30/2021,746,
6,11/6/2021,746,144001
7,11/13/2021,746,145100
8,11/20/2021,746,145964
9,11/27/2021,746,
10,12/4/2021,746,
11,12/11/2021,746,
12,12/18/2021,746,
13,12/25/2021,746,146624
14,1/1/2022,746,
15,1/8/2022,746,146740
16,1/15/2022,746,
17,1/22/2022,746,147267
18,1/29/2022,746,147710
19,2/5/2022,746,148060
20,2/12/2022,746,148415
21,2/19/2022,746,148883
22,2/26/2022,746,149089
23,3/5/2022,746,149318
24,3/12/2022,746,149613
25,3/19/2022,746,
26,3/26/2022,746,150107
27,4/2/2022,746,
28,4/9/2022,746,
29,4/16/2022,746,
