Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,246,15340
2,10/9/2021,246,15666
3,10/16/2021,246,16115
4,10/23/2021,246,16414
5,10/30/2021,246,16867
6,11/6/2021,246,16989
7,11/13/2021,246,17318
8,11/20/2021,246,17613
9,11/27/2021,246,17977
10,12/4/2021,246,18222
11,12/11/2021,246,18498
12,12/18/2021,246,18743
13,12/25/2021,246,18969
14,1/1/2022,246,19111
15,1/8/2022,246,19368
16,1/15/2022,246,19632
17,1/22/2022,246,19896
18,1/29/2022,246,20173
19,2/5/2022,246,
20,2/12/2022,246,
21,2/19/2022,246,20962
22,2/26/2022,246,21258
23,3/5/2022,246,21597
24,3/12/2022,246,21861
25,3/19/2022,246,22142
26,3/26/2022,246,
27,4/2/2022,246,
28,4/9/2022,246,
29,4/16/2022,246,
