Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,739,
2,10/9/2021,739,181698
3,10/16/2021,739,182261
4,10/23/2021,739,182767
5,10/30/2021,739,183270
6,11/6/2021,739,183743
7,11/13/2021,739,184190
8,11/20/2021,739,184325
9,11/27/2021,739,
10,12/4/2021,739,
11,12/11/2021,739,184589
12,12/18/2021,739,184689
13,12/25/2021,739,
14,1/1/2022,739,
15,1/8/2022,739,
16,1/15/2022,739,185808
17,1/22/2022,739,186260
18,1/29/2022,739,186747
19,2/5/2022,739,187189
20,2/12/2022,739,
21,2/19/2022,739,187967
22,2/26/2022,739,188294
23,3/5/2022,739,188754
24,3/12/2022,739,189162
25,3/19/2022,739,189680
26,3/26/2022,739,190291
27,4/2/2022,739,190882
28,4/9/2022,739,191559
29,4/16/2022,739,192187
