Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,195,130338
2,10/9/2021,195,130901
3,10/16/2021,195,131435
4,10/23/2021,195,132218
5,10/30/2021,195,132628
6,11/6/2021,195,133171
7,11/13/2021,195,133619
8,11/20/2021,195,134546
9,11/27/2021,195,134918
10,12/4/2021,195,135368
11,12/11/2021,195,136071
12,12/18/2021,195,136783
13,12/25/2021,195,137129
14,1/1/2022,195,137668
15,1/8/2022,195,137887
16,1/15/2022,195,
17,1/22/2022,195,
18,1/29/2022,195,
19,2/5/2022,195,
20,2/12/2022,195,
21,2/19/2022,195,
22,2/26/2022,195,140875
23,3/5/2022,195,
24,3/12/2022,195,141759
25,3/19/2022,195,142543
26,3/26/2022,195,143241
27,4/2/2022,195,144260
28,4/9/2022,195,
29,4/16/2022,195,
