Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,252,2384
2,10/9/2021,252,3085
3,10/16/2021,252,3209
4,10/23/2021,252,3289
5,10/30/2021,252,3305
6,11/6/2021,252,3350
7,11/13/2021,252,3391
8,11/20/2021,252,3787
9,11/27/2021,252,4130
10,12/4/2021,252,4250
11,12/11/2021,252,4329
12,12/18/2021,252,4413
13,12/25/2021,252,
14,1/1/2022,252,
15,1/8/2022,252,4428
16,1/15/2022,252,4742
17,1/22/2022,252,5388
18,1/29/2022,252,5997
19,2/5/2022,252,6025
20,2/12/2022,252,
21,2/19/2022,252,6929
22,2/26/2022,252,6971
23,3/5/2022,252,7241
24,3/12/2022,252,7319
25,3/19/2022,252,7445
26,3/26/2022,252,7636
27,4/2/2022,252,
28,4/9/2022,252,
29,4/16/2022,252,
