Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,236,25173
2,10/9/2021,236,25789
3,10/16/2021,236,26204
4,10/23/2021,236,26467
5,10/30/2021,236,26813
6,11/6/2021,236,27182
7,11/13/2021,236,27576
8,11/20/2021,236,27639
9,11/27/2021,236,
10,12/4/2021,236,27865
11,12/11/2021,236,28139
12,12/18/2021,236,28675
13,12/25/2021,236,29005
14,1/1/2022,236,29275
15,1/8/2022,236,29463
16,1/15/2022,236,29707
17,1/22/2022,236,30153
18,1/29/2022,236,30394
19,2/5/2022,236,30600
20,2/12/2022,236,30699
21,2/19/2022,236,30997
22,2/26/2022,236,31210
23,3/5/2022,236,31393
24,3/12/2022,236,32377
25,3/19/2022,236,33000
26,3/26/2022,236,33451
27,4/2/2022,236,33881
28,4/9/2022,236,
29,4/16/2022,236,
