Week_Index,Week_Ending,Vehicle,Ending_Mileage
1,10/2/2021,221,43590
2,10/9/2021,221,43870
3,10/16/2021,221,44140
4,10/23/2021,221,44310
5,10/30/2021,221,44740
6,11/6/2021,221,45150
7,11/13/2021,221,45540
8,11/20/2021,221,45940
9,11/27/2021,221,46100
10,12/4/2021,221,46480
11,12/11/2021,221,46840
12,12/18/2021,221,47600
13,12/25/2021,221,48100
14,1/1/2022,221,48420
15,1/8/2022,221,48820
16,1/15/2022,221,49140
17,1/22/2022,221,49180
18,1/29/2022,221,49330
19,2/5/2022,221,49380
20,2/12/2022,221,49670
21,2/19/2022,221,50100
22,2/26/2022,221,50270
23,3/5/2022,221,50630
24,3/12/2022,221,50820
25,3/19/2022,221,51260
26,3/26/2022,221,51520
27,4/2/2022,221,51900
28,4/9/2022,221,
29,4/16/2022,221,
